guestFirstName,guestLastName,tableName,tableZone
John,Doe,Genesis,A
Jane,Doe,Exodus,B
Michael,Smith,Leviticus,C
Emily,Johnson,Numbers,D
Daniel,Brown,Deuteronomy,1
Sarah,Miller,Joshua,2
David,Davis,Judges,3
Jennifer,Wilson,Ruth,4
Christopher,Taylor,1 Samuel,A
Jessica,Anderson,2 Samuel,B
Matthew,Thomas,1 Kings,C
Amanda,Jackson,2 Kings,D
Ashley,White,Isaiah,1
Joshua,Harris,Jeremiah,2
Andrew,Martin,Ezekiel,3
Emily,Clark,Daniel,4
James,Lewis,Hosea,A
Jessica,Lee,Joel,B
Benjamin,Walker,Amos,C
Megan,Hall,Obadiah,D
